Buff Size: 1 Bytes, Used Time: 2 usec, Thoughput: 500000 B/s
Buff Size: 2 Bytes, Used Time: 1 usec, Thoughput: 2000000 B/s
Buff Size: 4 Bytes, Used Time: 1 usec, Thoughput: 4000000 B/s
Buff Size: 8 Bytes, Used Time: 1 usec, Thoughput: 8000000 B/s
Buff Size: 16 Bytes, Used Time: 1 usec, Thoughput: 16000000 B/s
Buff Size: 32 Bytes, Used Time: 1 usec, Thoughput: 32000000 B/s
Buff Size: 64 Bytes, Used Time: 1 usec, Thoughput: 64000000 B/s
Buff Size: 128 Bytes, Used Time: 1 usec, Thoughput: 128000000 B/s
Buff Size: 256 Bytes, Used Time: 1 usec, Thoughput: 256000000 B/s
Buff Size: 512 Bytes, Used Time: 2 usec, Thoughput: 256000000 B/s
Buff Size: 1024 Bytes, Used Time: 2 usec, Thoughput: 512000000 B/s
Buff Size: 2048 Bytes, Used Time: 2 usec, Thoughput: 1024000000 B/s
Buff Size: 4096 Bytes, Used Time: 4 usec, Thoughput: 1024000000 B/s
Buff Size: 8192 Bytes, Used Time: 6 usec, Thoughput: 1365333333 B/s
Buff Size: 16384 Bytes, Used Time: 11 usec, Thoughput: 1489454545 B/s
Buff Size: 32768 Bytes, Used Time: 22 usec, Thoughput: 1489454545 B/s
Buff Size: 65536 Bytes, Used Time: 30 usec, Thoughput: 2184533333 B/s
Buff Size: 131072 Bytes, Used Time: 42 usec, Thoughput: 3120761905 B/s
Buff Size: 262144 Bytes, Used Time: 82 usec, Thoughput: 3196878049 B/s
Buff Size: 524288 Bytes, Used Time: 158 usec, Thoughput: 3318278481 B/s
Buff Size: 1048576 Bytes, Used Time: 303 usec, Thoughput: 3460646865 B/s
Buff Size: 2097152 Bytes, Used Time: 593 usec, Thoughput: 3536512648 B/s
Buff Size: 4194304 Bytes, Used Time: 1197 usec, Thoughput: 3504013367 B/s
Buff Size: 8388608 Bytes, Used Time: 2442 usec, Thoughput: 3435138411 B/s
Buff Size: 16777216 Bytes, Used Time: 5348 usec, Thoughput: 3137100972 B/s
Buff Size: 33554432 Bytes, Used Time: 19334 usec, Thoughput: 1735514224 B/s
Buff Size: 67108864 Bytes, Used Time: 41344 usec, Thoughput: 1623182663 B/s
Buff Size: 134217728 Bytes, Used Time: 82346 usec, Thoughput: 1629924076 B/s
Buff Size: 268435456 Bytes, Used Time: 164187 usec, Thoughput: 1634937334 B/s
Buff Size: 536870912 Bytes, Used Time: 330413 usec, Thoughput: 1624848030 B/s
Buff Size: 1073741824 Bytes, Used Time: 659931 usec, Thoughput: 1627051652 B/s
